id,path,filename,extension,size
1710,ROM/0963/Namcot Mahjong III (J) [!].nes,Namcot Mahjong III (J) [!].nes,nes,262160
1711,ROM/0964/Advanced Dungeons & Dragons - Heroes of the Lance (J) [!].nes,Advanced Dungeons & Dragons - Heroes of the Lance (J) [!].nes,nes,262160
1712,ROM/0964/Advanced Dungeons & Dragons - Heroes of the Lance (U) [!].nes,Advanced Dungeons & Dragons - Heroes of the Lance (U) [!].nes,nes,262160
1713,ROM/0965/Gun Sight (J) [!].nes,Gun Sight (J) [!].nes,nes,262160
1714,ROM/0965/Laser Invasion (U) [!].nes,Laser Invasion (U) [!].nes,nes,262160
1715,ROM/0966/Fushigi no Umi no Nadia (J) [!].nes,Fushigi no Umi no Nadia (J) [!].nes,nes,262160
1716,ROM/0967/Daikoukai Jidai (J) [!].nes,Daikoukai Jidai (J) [!].nes,nes,655376
1717,ROM/0967/Uncharted Waters (U) [!].nes,Uncharted Waters (U) [!].nes,nes,655376
1718,ROM/0968/Magical Taruruuto-kun (J) (PRG0) [!].nes,Magical Taruruuto-kun (J) (PRG0) [!].nes,nes,262160
1719,ROM/0968/Magical Taruruuto-kun (J) (PRG1) [!].nes,Magical Taruruuto-kun (J) (PRG1) [!].nes,nes,262160
1720,ROM/0969/Itadaki Street (J) [!].nes,Itadaki Street (J) [!].nes,nes,262160
1721,ROM/0970/Advanced Dungeons & Dragons - Hillsfar (J) [!].nes,Advanced Dungeons & Dragons - Hillsfar (J) [!].nes,nes,262160
1722,ROM/0970/Advanced Dungeons & Dragons - Hillsfar (U) [!].nes,Advanced Dungeons & Dragons - Hillsfar (U) [!].nes,nes,262160
1723,ROM/0971/Shadow Brain (J).nes,Shadow Brain (J).nes,nes,393232
1724,ROM/0972/Bakushou!! Jinsei Gekijou 2 (J) [!].nes,Bakushou!! Jinsei Gekijou 2 (J) [!].nes,nes,393232
1725,ROM/0973/Oeka Kids - Anpanman no Hiragana Daisuki (J).nes,Oeka Kids - Anpanman no Hiragana Daisuki (J).nes,nes,131088
1726,ROM/0974/Kero Kero Keroppi no Daibouken (J) [!].nes,Kero Kero Keroppi no Daibouken (J) [!].nes,nes,65552
1727,ROM/0975/Ninja Jajamaru - Ginga Daisakusen (J) [!].nes,Ninja Jajamaru - Ginga Daisakusen (J) [!].nes,nes,262160
1728,ROM/0975/Ninja Jajamaru - Operation Milky Way (UE) (NJRC) (Switch).nes,Ninja Jajamaru - Operation Milky Way (UE) (NJRC) (Switch).nes,nes,262160
1729,ROM/0975/Squashed (U) (Proto) [!].nes,Squashed (U) (Proto) [!].nes,nes,262160
1730,ROM/0976/Hokuto no Ken 4 (J) [!].nes,Hokuto no Ken 4 (J) [!].nes,nes,262160
1731,ROM/0977/RoboCop 2 (E) [!].nes,RoboCop 2 (E) [!].nes,nes,262160
1732,ROM/0977/RoboCop 2 (J) [!].nes,RoboCop 2 (J) [!].nes,nes,262160
1733,ROM/0977/RoboCop 2 (U) (PRG0) [!].nes,RoboCop 2 (U) (PRG0) [!].nes,nes,262160
1734,ROM/0977/RoboCop 2 (U) (PRG1) [!].nes,RoboCop 2 (U) (PRG1) [!].nes,nes,262160
1735,ROM/0978/New York Nyankies (J) [!].nes,New York Nyankies (J) [!].nes,nes,262160
1736,ROM/0978/Rockin' Kats (E) [!].nes,Rockin' Kats (E) [!].nes,nes,262160
1737,ROM/0978/Rockin' Kats (U) [!].nes,Rockin' Kats (U) [!].nes,nes,262160
1738,ROM/0979/Obocchama-kun (J) [!].nes,Obocchama-kun (J) [!].nes,nes,262160
1739,ROM/0980/Tenchi wo Kurau II - Shokatsu Koumei Den (J) (PRG0) [!].nes,Tenchi wo Kurau II - Shokatsu Koumei Den (J) (PRG0) [!].nes,nes,524304
1740,ROM/0980/Tenchi wo Kurau II - Shokatsu Koumei Den (J) (PRG1).nes,Tenchi wo Kurau II - Shokatsu Koumei Den (J) (PRG1).nes,nes,524304
1741,ROM/0981/Gorby no Pipeline Daisakusen (J).nes,Gorby no Pipeline Daisakusen (J).nes,nes,65552
1742,ROM/0981/Pipeline Daisakusen (J) (Project EGG).nes,Pipeline Daisakusen (J) (Project EGG).nes,nes,65552
1743,ROM/0982/Family Block (J).nes,Family Block (J).nes,nes,163856
1744,ROM/0982/Thunder & Lightning (U) [!].nes,Thunder & Lightning (U) [!].nes,nes,163856
1745,ROM/0983/Twin Eagle - Revenge Joe's Brother (J) [!].nes,Twin Eagle - Revenge Joe's Brother (J) [!].nes,nes,131088
1746,ROM/0983/Twin Eagle - Revenge Joe's Brother (U) [!].nes,Twin Eagle - Revenge Joe's Brother (U) [!].nes,nes,131088
1747,ROM/0984/Famimaga Disk Vol. 4 - Clox (J).fds,Famimaga Disk Vol. 4 - Clox (J).fds,fds,65516
1748,ROM/0985/Mahjong Club - Nagatachou (J) [!].nes,Mahjong Club - Nagatachou (J) [!].nes,nes,524304
1749,ROM/0986/Shikinjou (J) [!].nes,Shikinjou (J) [!].nes,nes,131088
1750,ROM/0987/Adventure Island II (E) [!].nes,Adventure Island II (E) [!].nes,nes,262160
1751,ROM/0987/Adventure Island II (U) [!].nes,Adventure Island II (U) [!].nes,nes,262160
1752,ROM/0987/Takahashi Meijin no Boukenjima II (J) [!].nes,Takahashi Meijin no Boukenjima II (J) [!].nes,nes,262160
1753,ROM/0988/Taito Basketball (J) [!].nes,Taito Basketball (J) [!].nes,nes,262160
1754,ROM/0988/Ultimate Basketball (U) [!].nes,Ultimate Basketball (U) [!].nes,nes,262160
1755,ROM/0989/Gun-Dec (J).nes,Gun-Dec (J).nes,nes,262160
1756,ROM/0989/Vice (U) [!].nes,Vice (U) [!].nes,nes,262160
1757,ROM/0990/Over Horizon (E) [!].nes,Over Horizon (E) [!].nes,nes,262160
1758,ROM/0990/Over Horizon (J).nes,Over Horizon (J).nes,nes,262160
1759,ROM/0991/Magic Darts (J) [!].nes,Magic Darts (J) [!].nes,nes,262160
1760,ROM/0991/Magic Darts (U) [!].nes,Magic Darts (U) [!].nes,nes,262160
1761,ROM/0992/Lagrange Point (J) [!].nes,Lagrange Point (J) [!].nes,nes,524304
1762,ROM/0993/Cocoron (J).nes,Cocoron (J).nes,nes,262160
1763,ROM/0994/Palamedes II (J) [!].nes,Palamedes II (J) [!].nes,nes,65552
1764,ROM/0995/Fuzzical Fighter (J) [!].nes,Fuzzical Fighter (J) [!].nes,nes,262160
1765,ROM/0996/L'Empereur (J) [!].nes,L'Empereur (J) [!].nes,nes,393232
1766,ROM/0996/L'Empereur (U) [!].nes,L'Empereur (U) [!].nes,nes,393232
1767,ROM/0997/Tetrastar - The Fighter (J).nes,Tetrastar - The Fighter (J).nes,nes,524304
1768,ROM/0998/Metal Max (J) [!].nes,Metal Max (J) [!].nes,nes,524304
1769,ROM/0999/Nantettatte!! Baseball - '91 Kaimaku Hen (J).nes,Nantettatte!! Baseball - '91 Kaimaku Hen (J).nes,nes,278544
1770,ROM/1000/Egypt (J) [!].nes,Egypt (J) [!].nes,nes,65552
1771,ROM/1001/Ninja Gaiden III (U) [!].nes,Ninja Gaiden III (U) [!].nes,nes,262160
1772,ROM/1001/Ninja Ryuukenden III (J) [!].nes,Ninja Ryuukenden III (J) [!].nes,nes,262160
1773,ROM/1002/Fighting Simulator (U) (Proto).nes,Fighting Simulator (U) (Proto).nes,nes,262160
1774,ROM/1002/Hiryuu no Ken Special (J) [!].nes,Hiryuu no Ken Special (J) [!].nes,nes,262160
1775,ROM/1003/Bomberman II (J) [!].nes,Bomberman II (J) [!].nes,nes,131088
1776,ROM/1003/Bomberman II (U) [!].nes,Bomberman II (U) [!].nes,nes,131088
1777,ROM/1003/Dynablaster (E) [!].nes,Dynablaster (E) [!].nes,nes,131088
1778,ROM/1004/Sugoro Quest (J) [!].nes,Sugoro Quest (J) [!].nes,nes,262160
1779,ROM/1005/Warwolf (J) [!].nes,Warwolf (J) [!].nes,nes,262160
1780,ROM/1005/Werewolf (E) [!].nes,Werewolf (E) [!].nes,nes,262160
1781,ROM/1005/Werewolf (U) [!].nes,Werewolf (U) [!].nes,nes,262160
1782,ROM/1006/Yakuman Tengoku (J) [!].nes,Yakuman Tengoku (J) [!].nes,nes,393232
1783,ROM/1007/Tsuppari Wars (J) [!].nes,Tsuppari Wars (J) [!].nes,nes,262160
1784,ROM/1008/Advanced Dungeons & Dragons - Pool of Radiance (J) [!].nes,Advanced Dungeons & Dragons - Pool of Radiance (J) [!].nes,nes,655376
1785,ROM/1008/Advanced Dungeons & Dragons - Pool of Radiance (U) [!].nes,Advanced Dungeons & Dragons - Pool of Radiance (U) [!].nes,nes,655376
1786,ROM/1009/Igo Shinan '91 (J) [!].nes,Igo Shinan '91 (J) [!].nes,nes,163856
1787,ROM/1010/Baseball Fighter (J).nes,Baseball Fighter (J).nes,nes,393232
1788,ROM/1011/Puzznic (E) [!].nes,Puzznic (E) [!].nes,nes,65552
1789,ROM/1011/Puzznic (J).nes,Puzznic (J).nes,nes,65552
1790,ROM/1011/Puzznic (U) [!].nes,Puzznic (U) [!].nes,nes,65552
1791,ROM/1012/Little Mermaid (J) [!].nes,Little Mermaid (J) [!].nes,nes,131088
1792,ROM/1012/The Little Mermaid (U) [!].nes,The Little Mermaid (U) [!].nes,nes,131088
1793,ROM/1013/Pachinko Daisakusen 1 (J) [!].nes,Pachinko Daisakusen 1 (J) [!].nes,nes,262160
1794,ROM/1014/Kyatto Ninden Teyandee (J) [!].nes,Kyatto Ninden Teyandee (J) [!].nes,nes,262160
1795,ROM/1015/Die Hard (E) [!].nes,Die Hard (E) [!].nes,nes,262160
1796,ROM/1015/Die Hard (J).nes,Die Hard (J).nes,nes,262160
1797,ROM/1015/Die Hard (U) [!].nes,Die Hard (U) [!].nes,nes,262160
1798,ROM/1016/JuJu Densetsu (J) [!].nes,JuJu Densetsu (J) [!].nes,nes,393232
1799,ROM/1016/Toki (U) [!].nes,Toki (U) [!].nes,nes,393232
1800,ROM/1017/Family Circuit '91 (J) [!].nes,Family Circuit '91 (J) [!].nes,nes,655376
1801,ROM/1018/Time Twist (J).fds,Time Twist (J).fds,fds,262016
1802,ROM/1019/Time Twist (J).fds,Time Twist (J).fds,fds,262016
1803,ROM/1020/Downtown Special (J) [!].nes,Downtown Special (J) [!].nes,nes,262160
1804,ROM/1021/Otaku no Seiza (J) [!].nes,Otaku no Seiza (J) [!].nes,nes,393232
1805,ROM/1022/SD Keiji - Blader (J) [!].nes,SD Keiji - Blader (J) [!].nes,nes,262160
1806,ROM/1023/Robocco Wars (J).nes,Robocco Wars (J).nes,nes,393232
1807,ROM/1024/Super Sprint (J) [!].nes,Super Sprint (J) [!].nes,nes,131088
1808,ROM/1024/Super Sprint (U) [!].nes,Super Sprint (U) [!].nes,nes,131088
1809,ROM/1025/My Life My Love (J) [!].nes,My Life My Love (J) [!].nes,nes,524304
1810,ROM/1026/Deblock (J) [!].nes,Deblock (J) [!].nes,nes,65552
1811,ROM/1027/Crazy Land (U) (Proto).nes,Crazy Land (U) (Proto).nes,nes,262160
1812,ROM/1027/Doki! Doki! Yuuenchi (J) [!].nes,Doki! Doki! Yuuenchi (J) [!].nes,nes,262160
1813,ROM/1027/The Trolls in Crazyland (E).nes,The Trolls in Crazyland (E).nes,nes,262160
1814,ROM/1028/Hyaku no Sekai no Monogatari (J).nes,Hyaku no Sekai no Monogatari (J).nes,nes,262160
1815,ROM/1029/Dragon Wars (J) [!].nes,Dragon Wars (J) [!].nes,nes,393232
1816,ROM/1029/Dragon Wars (U) (Proto).nes,Dragon Wars (U) (Proto).nes,nes,393232
1817,ROM/1030/Armadillo (J) [!].nes,Armadillo (J) [!].nes,nes,393232
1818,ROM/1031/Dragon Ball Z II (J) (PRG0) [!].nes,Dragon Ball Z II (J) (PRG0) [!].nes,nes,524304
1819,ROM/1031/Dragon Ball Z II (J) (PRG1) [!].nes,Dragon Ball Z II (J) (PRG1) [!].nes,nes,524304
1820,ROM/1032/A Ressha de Ikou (J).nes,A Ressha de Ikou (J).nes,nes,147472
1821,ROM/1033/Crisis Force (J) [!].nes,Crisis Force (J) [!].nes,nes,262160
1822,ROM/1034/Kaiketsu Yanchamaru 2 (J) [!].nes,Kaiketsu Yanchamaru 2 (J) [!].nes,nes,262160
1823,ROM/1035/Kaiketsu Yanchamaru 2 (J) [!].nes,Kaiketsu Yanchamaru 2 (J) [!].nes,nes,262160
1824,ROM/1036/Metal Slader Glory (J) [!].nes,Metal Slader Glory (J) [!].nes,nes,1048592
1825,ROM/1037/Cowboy Kid (U) [!].nes,Cowboy Kid (U) [!].nes,nes,524304
1826,ROM/1037/Western Kids (J) [!].nes,Western Kids (J) [!].nes,nes,524304
1827,ROM/1038/Dezaemon (J) [!].nes,Dezaemon (J) [!].nes,nes,131088
1828,ROM/1039/Dragon's Lair (E) [!].nes,Dragon's Lair (E) [!].nes,nes,262160
1829,ROM/1039/Dragon's Lair (J).nes,Dragon's Lair (J).nes,nes,262160
1830,ROM/1039/Dragon's Lair (U) [!].nes,Dragon's Lair (U) [!].nes,nes,131088
1831,ROM/1040/Mario Open Golf (J) (PRG0) [!].nes,Mario Open Golf (J) (PRG0) [!].nes,nes,262160
1832,ROM/1040/Mario Open Golf (J) (PRG1) [!].nes,Mario Open Golf (J) (PRG1) [!].nes,nes,262160
1833,ROM/1040/NES Open Tournament Golf (E) [!].nes,NES Open Tournament Golf (E) [!].nes,nes,262160
1834,ROM/1040/NES Open Tournament Golf (U) [!].nes,NES Open Tournament Golf (U) [!].nes,nes,262160
1835,ROM/1041/Hebereke (J) [!].nes,Hebereke (J) [!].nes,nes,262160
1836,ROM/1041/Ufouria (E) [!].nes,Ufouria (E) [!].nes,nes,262160
1837,ROM/1042/Spartan X 2 (J) [!].nes,Spartan X 2 (J) [!].nes,nes,262160
